review,score
No words to describe how AWESOME Avengers Infinity War was. It's one of my Favorite movies of all time😎👍,5
"This movie strings together every previous MCU installment in a way that feels totally satisfying, and the result is the one of the greatest action movies in history.",5
"Marvel definitely works hard on this movie, you can even feel from the plot. The effects are amazing and satisfying as always.",3.5
"Não tem nem o que dizer, é uma obra de arte, o melhor filme do ucm/mcu",5
This is one of the best in the MCU Saga. It's a fun packed film with plenty of action sequences; it's intense to the end. A must see MCU banger.,4
The amazing visuals to stunning music and the best action This is movie is the goat of all of marvel Must watch now,5
"SOOOOO GOOD, after the flop of no.2, this brings back all the action",5
realy cool that the bad guy finaly won,5
Es mi top 3 películas de todo Marvel,5
This Movie is my top favourite movie of all times I can't say why this would be a bad movie as we got the best battle scene with some much characters I still watched this everyday.,5
Truly a Masterpiece 🙏🏽,5
"Excellent effects, cast and brave decisions taken but at the expense of ""less popular"" characters... Comedy and ""faults"" are all at the expense of heroes whose personality and character completely changed for the sake of script.",2.5
"I tell ya The Avengers movie seems to get better & better & The Avengers: Infinity War is no exception, this movie's story is colorful and great & the action seem while over-the-top in nature are still well-choreographed and the ending felt the greatest cliffhanger in the world.",3.5
"Infinite War is a dazzling downer that successfully juggles an array of characters going through different parts of the very active story. It's darker and more depressing than I expected, but it is no less impressive.",4
"Still is and probably always will be my favorite marvel movie, absolutely stunning cinematography",5
This is best movie ever masterpis movie in the world vfx cgi best,5
"Where do I even begin with Avengers: Infinity War? This movie is an absolute masterpiece, a cinematic achievement that left me breathless from start to finish. As a lifelong Marvel fan, I had high expectations, and Infinity War exceeded them all. First and foremost, the storytelling in this film is nothing short of brilliant. The Russo brothers, along with the talented team of writers, managed to seamlessly weave together multiple storylines and bring together an incredible ensemble of beloved characters. The stakes were higher than ever before, and the suspense was palpable throughout. From the very first scene, I was completely engrossed in the narrative, eagerly anticipating what would happen next. The performances in Infinity War were phenomenal. The entire cast delivered outstanding performances, bringing their characters to life with depth, emotion, and authenticity. Robert Downey Jr. as Iron Man, Chris Hemsworth as Thor, and Josh Brolin as Thanos deserve special mention for their exceptional portrayals. Brolin's portrayal of Thanos was chillingly captivating, making him one of the most compelling villains in cinematic history. The action sequences in Infinity War were mind-blowing. From the epic battles on Earth to the cosmic clashes in space, each action set-piece was meticulously choreographed and visually stunning. The visual effects were top-notch, seamlessly blending CGI with the live-action performances. Every punch, every explosion, and every display of powers felt exhilarating and left me in awe. But what truly sets Infinity War apart is its emotional impact. This film tugs at your heartstrings and doesn't shy away from exploring the consequences of the characters' actions. It's a rollercoaster of emotions, as we witness the triumphs and tragedies faced by our beloved heroes. The ending left me stunned and emotionally devastated, eagerly awaiting the next installment. The musical score by Alan Silvestri deserves special recognition. It perfectly complements the film, heightening the tension, evoking emotions, and enhancing the overall cinematic experience. The iconic Avengers theme never fails to give me goosebumps. In conclusion, Avengers: Infinity War is a cinematic tour de force that raises the bar for superhero movies. It's an epic journey filled with jaw-dropping action, incredible performances, and a gripping storyline that will keep you on the edge of your seat. Whether you're a die-hard Marvel fan or just a casual moviegoer, this film is an absolute must-see. Prepare yourself for an experience like no other, and be ready to witness the culmination of years of storytelling. Infinity War deserves every star in the galaxy!",5
Avengers infinity war the beings the infinity saga and it was good it handled having a lot of characters very well the action was Epic Thanos shows well emotion this is very recommended,4
"This is the true ending of MCU, no more, an absolute perfect film.",5
"I really loved this movie. This movie is emotional, funny and action packed. The action in this movie is creative fun. This movie breaks the marvel formula and is surprisingly re-watchable. I only have one issue with this movie. My one fault is that the made star lord dumb and emotional. They really messed his character up in this movie. Overall this movie is spectacular 4.5/5.",4.5
"It was beyond my expectations before I saw it. It was absolute perfection with the pacing, action, tone, tone characters, especially Thanos, the true protagonist of the movie. Marvel was so smart to give him very little screen time prior to this film to give him a gradual build up that will show just how powerful he is. The biggest surprise and shock was when he collects all infinity stones and snaps his fingers and therefore achieves his lifelong goal and win. This was a huge win for the cinemas in 2018!",5
"One of the most entertaining movies ever made, and definitely the best MCU movie. It's this vs the dark knight for best comic book movie.",5
Incredible!!! The best MCU movie ever!,5
no explanation needed,5
"Rankings: #2 (100 Best Movies of the 21st Century Thus Far) #2 (50 Best Movies of the 2010s) 10 years can often be enough time for a movie franchise to rise to greatness, jump the shark, and even end. Marvel, on the other hand, did it completely right. Where The Avengers was a milestone in 2012 for taking characters from different movies and putting them all together in one movie, Infinity War expanded on that for putting together almost everyone in the entire universe. In doing so, the Russo bros managed to make largely sized and scaled scenes that always managed to be interesting and entertaining. And then there's Thanos, who is possibly one of the most threatening and well-acted villains in cinematic history.",5
Avengers: Infinity War has a better script and is structured much better than the previous Avenger's movie.,4
My favorite out of all the Avengers movies.,5
Absolutely Insane! A very Shocking Ending! Better then Age of Ultron! This had more cross overs then the 2 previous films combined! A very must watch!,5
Probably the best mcu movie ever. Just seeing all of our favorite characters interact was so much fun to see. I loved the movie and rewatching has been fun.,5
"If it was possible, it'll give it a 8-stars out of 5. Glorious, heartbreaking, awesome, tearful, charmful… all the way from the start until the end. Spoilers: tears will flow, be prepared.",5
Probably the best thing Marvel has done since the original Spider Man,5
Definitely the best MCU movie so far to come out. Thanos was a monumental villain and to see him win made the movie that much better.,5
This movie could be cut in half and still would have lots of boring unnecessary scenes.,2
"Brilliant from beginning to end, with so many characters all handled well, a balance of seriousness and humour, some emotional depth (Thor's suppressed desperation and general brokenness), and spot on action. The stand out moment has to be Thor's entrance into the battle of Wakanda. Perfection",5
